score,date
78,1-Apr-13
54,9-Apr-13
66,21-Feb-13
80,30-Jul-13
90,25-Apr-13
60,9-Sep-13
84,9-Aug-13
70,7-Mar-13
88,5-Sep-13
66,2-Dec-13
81,20-Sep-13
89,24-Mar-14
89,24-Apr-13
82,15-May-13
82,10-Jun-13
81,25-Oct-13
86,27-Sep-13
81,26-Dec-13
75,12-Sep-13
78,26-Jun-13
59,25-Jun-13
96,27-Jun-13
72,11-Apr-13
80,28-Oct-13
69,22-May-13
62,17-May-13
69,12-Apr-13
69,22-Apr-13
73,27-Feb-14
80,22-Aug-13
64,6-Jun-13
98,17-Apr-13
80,5-Mar-14
83,20-Mar-13
72,4-Dec-13
95,18-Jul-13
89,27-Mar-14
72,15-Nov-13
70,5-Mar-13
81,22-Feb-13
86,10-Dec-13
87,3-Mar-14
75,12-Jun-13
71,27-Dec-13
81,18-Dec-13
86,22-Oct-13
85,11-Dec-13
68,6-Mar-14
81,21-Oct-13
43,19-Feb-13
68,12-Nov-13
86,10-Jan-14
63,10-Sep-13
75,29-Mar-13
78,24-Oct-13
88,20-Feb-13
97,13-Dec-13
80,22-Oct-13
61,18-Jun-13
68,31-Jul-13
67,25-Sep-13
58,2-May-13
54,19-Dec-13
55,13-Sep-13
45,8-May-13
42,28-Aug-13
49,17-Sep-13
94,2-Jul-13
77,27-Mar-13
76,4-Mar-13
74,31-Jan-13
84,30-Sep-14
86,2-Apr-14
94,25-Apr-13
52,23-Dec-13
60,3-Jan-14
93,3-Apr-13
83,22-Mar-13
37,23-Oct-13
91,15-Mar-13
45,25-Jun-13
62,15-Jul-13
32,28-Jun-13
72,29-May-13
45,6-Aug-13
55,22-Aug-13
48,15-Aug-13
52,11-Jun-13
56,9-Sep-13
85,7-Jun-13
95,30-Sep-13
59,21-Aug-13
94,24-Sep-13
96,13-Feb-14
87,14-Feb-14
87,14-Feb-14
85,16-Sep-13
64,6-Feb-14
64,27-Aug-13
93,10-Feb-14
71,17-Sep-13
69,19-Nov-13
83,10-Sep-13
81,30-Sep-13
70,30-Jul-13
82,25-Sep-13
93,22-Aug-13
93,18-Sep-13
93,29-Aug-13
93,12-Sep-13
99,13-Feb-14
71,12-Feb-14
73,23-Sep-13
84,23-Sep-13
72,9-Sep-13
80,26-Sep-13
67,11-Feb-14
87,18-Feb-14
88,20-Sep-13
89,12-Sep-13
94,8-Aug-13
75,16-Dec-13
96,15-Nov-13
91,18-Dec-13
97,3-Dec-13
90,21-Nov-13
75,18-Nov-13
89,3-Dec-13
72,25-Jun-14
98,9-Dec-13
95,3-Dec-13
95,22-Nov-13
84,26-Nov-13
81,20-Nov-13
86,17-Dec-13
69,19-Nov-13
60,12-Dec-13
89,9-Jan-14
80,15-Nov-13
62,12-Nov-13
99,14-Nov-13
55,22-Jan-14
80,20-Nov-13
88,16-Dec-13
72,5-Dec-13
88,2-Dec-13
85,21-Nov-13
43,6-Nov-13
94,5-Nov-13
64,12-Nov-13
86,21-Oct-13
74,19-Feb-14
44,23-Jan-14
65,5-Feb-14
75,27-Jan-14
61,21-Feb-14
99,28-Jan-14
80,18-Feb-14
67,22-Jan-14
65,6-Feb-14
78,27-Jan-14
31,29-Jan-14
83,24-Jan-14
38,9-Jan-14
95,28-Jan-14
88,6-Feb-14
73,19-Feb-14
45,16-Jan-14
92,12-Feb-14
89,28-Jan-14
65,10-Feb-14
64,20-Feb-14
85,9-Dec-13
