INSPECTION_ID,PROPERTY_ID,PROPERTY_NAME,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME,STATE_CODE,ZIP,LATITUDE,LONGITUDE,LOCATION_QUALITY,INSPECTION_SCORE,INSPECTION_DATE
500091,800006022,KIMBARK RESIDENTIAL,1351 E 62nd St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60637,41.782207,-87.592640,R,78,4/1/2013 9:32
500139,800209831,Hearts United,654 E 43rd St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.816948,-87.609957,R,54,4/9/2013 9:52
500174,800220966,Hilliard Homes Phase II,2030 South State/ 30 West Cermak,CHICAGO,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60616,41.848900,-87.623600,T,66,2/21/2013 9:16
500214,800006372,T.E.BROWN APTS,3601 S Wells St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60609,41.828218,-87.632424,R,80,7/30/2013 9:57
500902,800006449,West Town Senior  Housing/AKA/ Linden House/AKA/Ed,2315 W Le Moyne St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60622,41.908345,-87.685560,R,90,4/25/2013 9:57
500908,800005770,CAL-MET VILLAGE,4101 S Calumet Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.820178,-87.618212,R,60,9/9/2013 9:06
500956,800040093,850 ARGYLE PLACE APTS.,850 W Argyle St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.973465,-87.652396,R,84,8/9/2013 9:07
500964,800005700,ANATHOTH GARDENS,34 N Keeler Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60624,41.881096,-87.730772,R,70,3/7/2013 9:40
501011,800005997,IKE SIMS VILLAGE,3333 W Maypole Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60624,41.883433,-87.709262,R,88,9/5/2013 9:36
501090,800224494,Victory Centre of Galewood SLF,2370 N Newcastle Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60707,41.923255,-87.797238,R,66,12/2/2013 9:15
501194,800006520,36TH & MICHIGAN TOWNHOUSES,60 E 36th Pl,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.828896,-87.624994,R,81,9/20/2013 9:00
501246,800006363,Stone Terrace Apartments,8440 S Vincennes Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60620,41.740277,-87.639480,R,89,3/24/2014 9:39
501306,800006431,VAN BUREN PARK APARTMENTS,2045 W Jackson Blvd,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60612,41.877371,-87.678396,R,89,4/24/2013 9:30
501467,800006522,EASTWOOD TOWERS,4640 N Sheridan Rd,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.966575,-87.655048,R,82,5/15/2013 9:00
501477,800221041,Homan Square Apartments Phase IV,3607 W Polk St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60624,41.870685,-87.715733,R,82,6/10/2013 9:35
501482,800005942,Oasis Senior Living,10860 S Vincennes Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60643,41.696434,-87.660569,R,81,10/25/2013 8:07
501497,800006087,LOGAN VISTAS,2600 N Kedzie Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60647,41.928823,-87.707801,R,86,9/27/2013 9:47
501498,800006110,CLIFTON MAGNOLIA APARTMENTS,4416 N Clifton Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.962247,-87.658394,R,81,12/26/2013 9:17
501550,800005815,CONTINENTAL PLAZA APARTMENTS,1330 W 76th St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60620,41.756138,-87.657116,R,75,9/12/2013 9:48
501581,800040042,JORGE HERNANDEZ,1615 N Kildare Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60639,41.910372,-87.733448,R,78,6/26/2013 9:28
501582,800040097,The Bryn Mawr &The Belle Shore,5550 N Kenmore Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.982709,-87.656826,R,59,6/25/2013 9:02
501644,800221027,Lakeside Square Apartments,920 W Lakeside Pl,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.968333,-87.653253,R,96,6/27/2013 8:55
501748,800005791,Chinatown Elderly Apartments,300 W 23rd St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60616,41.851131,-87.634781,R,72,4/11/2013 9:27
501789,800006407,MARSHALL FIELD GARDEN APT.,1448 N Sedgwick St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60610,41.908610,-87.638731,R,80,10/28/2013 9:32
501792,800006311,SCOTLAND YARDS I,4215 N Broadway St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60613,41.958796,-87.652980,R,69,5/22/2013 9:23
501793,800006312,SCOTLAND YARD II,4247 N Broadway St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60613,41.959306,-87.653298,R,62,5/17/2013 9:20
501794,800006322,SHERIDAN GUNNISON APARTMENTS,4827 N Sheridan Rd,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.969706,-87.654626,R,69,4/12/2013 9:02
501821,800040078,VICTORY APARTMENTS,1700 N Humboldt Blvd,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60647,41.912482,-87.702497,R,69,4/22/2013 9:02
501838,800220322,Riverside Village,13215 S Indiana Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60827,41.655138,-87.617055,R,73,2/27/2014 9:22
501861,800006473,WEST TOWN HOUSING PHASE II,2550 W North Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60647,41.910497,-87.691240,R,80,8/22/2013 8:53
501862,800005814,CONGRESSMAN GEORGE W. COLLINS APTS.,1401 S Blue Island Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60608,41.863483,-87.656136,R,64,6/6/2013 9:12
501863,800005816,CORCORAN PLACE APARTMENTS,345 N Austin Blvd,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60644,41.887238,-87.774682,R,98,4/17/2013 9:47
501864,800006213,PARK SHORE EAST COOPERATIVE,1561 E 61st St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60637,41.783680,-87.586942,R,80,3/5/2014 9:47
501920,800005826,NORTH ASHLAND REHAB,1614 W Wilson Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.965420,-87.669953,R,83,3/20/2013 9:59
501924,800235166,Pangea Auburn Gresham Apartments Phase I,1415 W 80th St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60620,41.748421,-87.659412,R,72,12/4/2013 9:09
501982,800005716,Shoreham Apartments,3318 N Lake Shore Dr,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60657,41.942618,-87.640321,R,95,7/18/2013 9:05
502014,800005933,GILL PARK COOPERATIVE,810 W Grace St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60613,41.951043,-87.649748,R,89,3/27/2014 9:02
502099,800040073,THE WHITMORE APTS,130 N Parkside Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60644,41.883020,-87.766777,R,72,11/15/2013 9:11
502100,800040096,Neighborhood Commons Cooperative,1600 N Vine St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60614,41.912709,-87.644594,R,70,3/5/2013 9:08
502105,800210777,46th & Vincennes Apartments,444 E 46th St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.811394,-87.614725,R,81,2/22/2013 9:14
502125,800213405,Montclare Senior Residences,6650 W Belden Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60707,41.921372,-87.791924,R,86,12/10/2013 9:02
502169,800039864,WILLARD SQUARE APARTMENTS,4907 S Saint Lawrence Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60615,41.805696,-87.611136,R,87,3/3/2014 8:31
502180,800212450,Lathrop Elderly,2717 N Leavitt St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60647,41.930872,-87.680569,R,75,6/12/2013 9:32
502192,800220195,Pioneer Gardens Senior Living Facility,3800 S Dr Martin L King Jr Dr,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.825638,-87.617504,R,71,12/27/2013 9:10
502197,800216944,Indiana Manor Townhomes,4324 S Indiana Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.816017,-87.621596,R,81,12/18/2013 9:10
502217,800006373,T.K. Lawless Gardens II,3510 S Rhodes Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.830793,-87.614670,R,86,10/22/2013 9:11
502234,800218892,Madden/Wells Phase 1A,3859 S Vincennes Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.824528,-87.612209,R,85,12/11/2013 9:18
502253,800006007,JACKSON PARK TERRACE,6040 S Harper Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60637,41.784993,-87.588377,R,68,3/6/2014 9:17
502258,800006374,T.K. LAWLESS GARDENS I,3550 S Rhodes Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.829667,-87.614663,R,81,10/21/2013 8:55
